#		pair_id	s_id	d_id	fide_th
sd_pair	0		0		6		0.95131
sd_pair	1		1		12		0.961671
sd_pair	2		3		4		0.970954
sd_pair	3		3		10		0.972031
sd_pair	4		3		16		0.983587
sd_pair	5		4		0		0.960787
sd_pair	6		4		18		0.958776
sd_pair	7		5		10		0.952509
sd_pair	8		5		12		0.955831
sd_pair	9		8		7		0.978911
sd_pair	10		8		17		0.96263
sd_pair	11		14		1		0.964306
sd_pair	12		14		12		0.988813
sd_pair	13		15		11		0.98442
sd_pair	14		17		14		0.961376
sd_pair	15		18		12		0.98109
sd_pair	16		18		14		0.954812
sd_pair	17		18		16		0.958643
sd_pair	18		19		4		0.966991
sd_pair	19		19		6		0.985406

