node	user	0	9993	3854.01	13	0.9
node	user	1	1371.76	3105.82	11	0.9
node	user	2	831.101	1325.93	12	0.9
node	user	3	6698.76	9212.04	14	0.9
node	user	4	2575.92	8670.61	13	0.9
node	user	5	3998.27	649.528	11	0.9
node	user	6	7377.9	995.479	14	0.9
node	user	7	8179.42	6432.33	10	0.9
node	user	8	7854.8	4884.3	10	0.9
node	user	9	8714.65	6576.63	12	0.9
node	repeater	10	3865.08	6474.52	13	0.9
node	repeater	11	9866.59	1292.17	10	0.9
node	repeater	12	3132.78	5146.07	13	0.9
node	repeater	13	2819.66	5375.62	11	0.9
node	repeater	14	1883.16	6575.44	10	0.9
node	repeater	15	6909.3	7056.05	10	0.9
node	repeater	16	8223.42	8578.37	12	0.9
node	repeater	17	930.137	5252.88	10	0.9
node	repeater	18	517.804	1647.87	11	0.9
node	repeater	19	1442.78	8596.25	11	0.9
edge	0	1	13	0.0002
edge	0	3	13	0.0002
edge	0	5	10	0.0002
edge	0	6	14	0.0002
edge	1	5	13	0.0002
edge	1	6	10	0.0002
edge	1	9	11	0.0002
edge	1	13	10	0.0002
edge	1	18	11	0.0002
edge	2	7	12	0.0002
edge	2	8	11	0.0002
edge	2	11	12	0.0002
edge	2	14	12	0.0002
edge	2	18	12	0.0002
edge	3	4	10	0.0002
edge	3	6	13	0.0002
edge	3	7	11	0.0002
edge	3	8	14	0.0002
edge	3	10	13	0.0002
edge	3	15	11	0.0002
edge	3	16	14	0.0002
edge	3	19	12	0.0002
edge	4	9	10	0.0002
edge	4	10	14	0.0002
edge	4	12	14	0.0002
edge	4	14	12	0.0002
edge	4	16	13	0.0002
edge	4	19	13	0.0002
edge	5	7	14	0.0002
edge	5	11	14	0.0002
edge	5	13	11	0.0002
edge	5	14	11	0.0002
edge	5	15	12	0.0002
edge	5	17	11	0.0002
edge	6	8	13	0.0002
edge	6	11	12	0.0002
edge	6	12	13	0.0002
edge	6	17	11	0.0002
edge	7	9	12	0.0002
edge	7	11	12	0.0002
edge	7	15	14	0.0002
edge	7	16	11	0.0002
edge	7	19	10	0.0002
edge	8	9	14	0.0002
edge	8	12	11	0.0002
edge	8	15	11	0.0002
edge	8	18	13	0.0002
edge	9	11	12	0.0002
edge	9	14	11	0.0002
edge	9	15	14	0.0002
edge	10	13	10	0.0002
edge	11	12	14	0.0002
edge	12	13	13	0.0002
edge	12	17	13	0.0002
edge	13	17	13	0.0002
edge	13	18	14	0.0002
edge	13	19	11	0.0002
edge	14	15	12	0.0002
edge	14	17	12	0.0002
edge	16	17	12	0.0002
edge	16	19	10	0.0002
edge	17	18	13	0.0002
